Feature,Is_Normal,Test_Used,Statistic,P_Value_Raw,P_Value_Adj,Significant
e_174,False,Mann-Whitney U,39426.0,0.31166641865302847,0.5139882288273404,False
e_129,False,Mann-Whitney U,39420.0,0.3132115769416606,0.5139882288273404,False
e_97,False,Mann-Whitney U,39407.0,0.31657669125481247,0.515107836618,False
e_163,False,Mann-Whitney U,35697.0,0.32101288847810916,0.5179367612419913,False
e_14,True,Welch's t-test,0.9624122977406334,0.3363017735318592,0.5380828376509748,False
e_178,True,Welch's t-test,0.9521895162489924,0.34151561982005735,0.5419090826896777,False
e_30,False,Mann-Whitney U,35796.0,0.3476497141191366,0.5426727244786522,False
e_103,False,Mann-Whitney U,35788.0,0.34544643268254305,0.5426727244786522,False
e_66,True,Welch's t-test,0.9262287558146082,0.354758323765855,0.5493032109922915,False
e_58,True,Welch's t-test,0.8523898490827275,0.3943866959730386,0.6009702033874874,False
e_18,True,Welch's t-test,0.8570016862864469,0.3918455121256019,0.6009702033874874,False
e_57,True,Welch's t-test,-0.8442689891049714,0.3989331995640103,0.6031116087896848,False
e_152,True,Welch's t-test,0.8287894906982938,0.40761498854102834,0.6114224828115425,False
e_167,True,Welch's t-test,-0.8205648755040451,0.41228040615868844,0.6136266510268851,False
e_181,True,Welch's t-test,-0.8090071483573632,0.4188866743755773,0.6139407746573348,False
e_130,True,Welch's t-test,-0.8092291793765592,0.418747558470109,0.6139407746573348,False
e_95,False,Mann-Whitney U,36052.0,0.4228211004192821,0.615012509700774,False
e_144,False,Mann-Whitney U,36088.0,0.4341067147514297,0.6209963568443164,False
e_101,False,Mann-Whitney U,39010.0,0.430639994419027,0.6209963568443164,False
e_142,False,Mann-Whitney U,38991.0,0.43663806340615996,0.6209963568443164,False
e_43,True,Welch's t-test,0.7539168894216033,0.45122979245890316,0.6370302952360986,False
e_188,True,Welch's t-test,-0.7257035127910825,0.468340482663116,0.6563603844621773,False
e_55,True,Welch's t-test,-0.6945724468878537,0.4876480928059206,0.6628233936333235,False
e_113,False,Mann-Whitney U,38830.0,0.4893569367637485,0.6628233936333235,False
