Feature,AUC,Max_Accuracy,Precision_at_Max_Acc,Best_Threshold
e_94,0.5633531769813683,0.5688405797101449,0.5689320388349515,-7.703259
e_127,0.556461171707486,0.5688405797101449,0.5880893300248139,-3.0101488
e_164,0.5536111444058226,0.5688405797101449,0.5663551401869159,-35.177193
e_132,0.5387217494373193,0.5688405797101449,0.5847255369928401,-25.216059
e_177,0.533301370410324,0.5688405797101449,0.5678776290630975,-33.0272
e_165,0.5259898517719446,0.5688405797101449,0.5708582834331337,-31.233961
e_72,0.5244449771598279,0.5688405797101449,0.5773420479302832,-15.697111
e_28,0.5165741073687855,0.5688405797101449,0.5711422845691383,-16.296307
e_170,0.5151490937179538,0.5688405797101449,0.5676190476190476,-44.590374
e_111,0.5091027741153595,0.5688405797101449,0.565377532228361,-31.510408
e_143,0.5081705221942547,0.5688405797101449,0.5702970297029702,-27.381817
e_0,0.5062793825828706,0.5688405797101449,0.579064587973274,0.7087756
e_16,0.5036424414346026,0.5688405797101449,0.5705765407554672,-30.206383
e_137,0.5588717088177714,0.5670289855072463,0.5813953488372093,-25.78888
e_134,0.5402399882802615,0.5670289855072463,0.574468085106383,-8.105296
e_181,0.5221942546645891,0.5670289855072463,0.5652985074626866,-30.768936
e_152,0.517799352750809,0.5670289855072463,0.5648148148148148,-18.778498
e_114,0.5139504841051048,0.5670289855072463,0.5711382113821138,-0.9265353
e_13,0.5103546552665574,0.5670289855072463,0.5691699604743083,-22.019325
e_121,0.5032162691278118,0.5670289855072463,0.5652985074626866,-44.917423
e_107,0.5010854075938578,0.5670289855072463,0.5648148148148148,-37.32682
e_156,0.5359915830969408,0.5652173913043478,0.5630712979890311,-40.10924
e_89,0.5334745029099578,0.5652173913043478,0.5649717514124294,-29.34472
e_188,0.5214750888968797,0.5652173913043478,0.5652173913043478,-17.17009
e_95,0.5198636248618269,0.5652173913043478,0.5856079404466501,-29.828058
e_158,0.5134444044907907,0.5652173913043478,0.5630712979890311,-61.779335
e_71,0.5053204948925912,0.5652173913043478,0.5683168316831683,-25.960405
e_21,0.503922117010934,0.5652173913043478,0.5637707948243993,-34.05515
e_99,0.5008590035558753,0.5652173913043478,0.5680473372781065,-22.016594
e_191,0.5001398377881657,0.5652173913043478,0.5642458100558659,-37.088955
e_85,0.5475648248032283,0.5634057971014492,0.5794392523364486,-7.12379
e_159,0.5313969129143528,0.5634057971014492,0.5732758620689655,-13.029839
e_175,0.5266157923475435,0.5634057971014492,0.5648854961832062,-27.710098
e_17,0.5261896200407528,0.5634057971014492,0.5627306273062731,-29.120995
e_151,0.5252307323504735,0.5634057971014492,0.5669291338582677,-31.260326
e_97,0.5248178779282698,0.5634057971014492,0.5779816513761468,-8.853633
e_141,0.5150691864104305,0.5634057971014492,0.5732758620689655,-4.218428
e_67,0.5130315500685871,0.5634057971014492,0.5643939393939394,-26.764526
e_86,0.5118862119940868,0.5634057971014492,0.5620437956204379,-31.243286
e_38,0.5047345079707539,0.5634057971014492,0.5636704119850188,-44.094574
e_20,0.5022174277837708,0.5634057971014492,0.5618181818181818,-37.53048
e_45,0.501285175862666,0.5634057971014492,0.5627306273062731,-27.275143
e_5,0.5002730166340379,0.5634057971014492,0.5625,-36.36872
e_27,0.5437559098112856,0.5615942028985508,0.5610200364298725,-45.37614
e_131,0.5349128344453766,0.5615942028985508,0.5653021442495126,-19.549505
